year,month,zipcode,median_value,total_listed
2018,07,85003,454550,60
2018,07,85004,330050,54
2018,07,85006,330050,95
2018,07,85007,382450,51
2018,07,85008,284950,107
2018,07,85009,179950,52
2018,07,85012,429950,58
2018,07,85013,349950,149
2018,07,85014,342450,128
2018,07,85015,259300,122
2018,07,85016,425050,324
2018,07,85017,177500,38
2018,07,85018,796550,388
2018,07,85019,199050,44
2018,07,85020,349950,186
2018,07,85021,370050,141
2018,07,85022,320040,171
2018,07,85023,290050,91
2018,07,85024,300050,89
2018,07,85027,234050,93
2018,07,85028,417050,108
2018,07,85029,225050,114
2018,07,85031,185550,38
2018,07,85032,287950,206
2018,07,85033,180050,76
2018,07,85035,190050,46
2018,07,85037,201e3,93
2018,07,85040,195050,48
2018,07,85041,240050,127
2018,07,85042,268e3,107
2018,07,85043,219950,60
2018,07,85044,348050,129
2018,07,85045,360050,39
2018,07,85048,409950,153
2018,07,85050,394500,179
2018,07,85051,219500,88
2018,07,85053,245050,84
2018,07,85054,347750,64
2018,07,85083,396550,144
2018,07,85085,424200,169
2018,07,85086,419650,314
2018,07,85087,399749,110
2018,06,85003,470550,72
2018,06,85004,329725,56
2018,06,85006,329125,76
2018,06,85007,405975,56
2018,06,85008,282525,108
2018,06,85009,171150,45
2018,06,85012,423050,62
2018,06,85013,333500,142
2018,06,85014,336774.5,131
2018,06,85015,261225,121
2018,06,85016,449550,331
2018,06,85017,170050,37
2018,06,85018,792550,413
2018,06,85019,195050,39
2018,06,85020,344975,191
2018,06,85021,419800,133
2018,06,85022,333966.5,153
2018,06,85023,299950,101
2018,06,85024,320675,92
2018,06,85027,23e4,91
2018,06,85028,402550,111
2018,06,85029,226e3,103
2018,06,85031,192049.75,38
2018,06,85032,289796.25,196
2018,06,85033,180050,72
2018,06,85035,185299.25,54
2018,06,85037,199950,82
2018,06,85040,200050,46
2018,06,85041,236299.5,124
2018,06,85042,277293,107
2018,06,85043,215950,47
2018,06,85044,349e3,152
2018,06,85045,394350,48
2018,06,85048,417950,171
2018,06,85050,402450,188
2018,06,85051,215050,85
2018,06,85053,245050,72
2018,06,85054,347750,75
2018,06,85083,397800,140
2018,06,85085,419500,173
2018,06,85086,426e3,364
2018,06,85087,399449.5,107
2018,05,85003,459050,82
2018,05,85004,325775,57
2018,05,85006,316950,77
2018,05,85007,419512,51
2018,05,85008,270800,107
2018,05,85009,168800,34
2018,05,85012,452950,65
2018,05,85013,332050,142
2018,05,85014,319550,125
2018,05,85015,264650,118
2018,05,85016,426775,382
2018,05,85017,176250,37
2018,05,85018,835050,420
2018,05,85019,195725,31
2018,05,85020,33e4,197
2018,05,85021,420500,152
2018,05,85022,329267.75,158
2018,05,85023,327025,84
2018,05,85024,331250,87
2018,05,85027,230049.75,85
2018,05,85028,405050,113
2018,05,85029,222475,97
2018,05,85031,183299.5,37
2018,05,85032,290050,192
2018,05,85033,185046.5,62
2018,05,85035,184950,40
2018,05,85037,199300,69
2018,05,85040,209425,45
2018,05,85041,228750,113
2018,05,85042,269950,127
